1780487275.065,start,-0.1043,7.7307,0.4545,-5.0799,0.6005,-0.1499,0.2392
1780487275.069,start,-0.0850,7.7247,0.4551,-5.0800,0.6004,-0.1497,0.2399
1780487275.208,start,-0.1002,7.7211,0.4576,-5.0818,0.5973,-0.1496,0.2396
1780487275.210,start,-0.1055,7.7241,0.4403,-5.0820,0.6075,-0.1494,0.2392
1780487275.211,start,-0.1123,7.7358,0.4548,-5.0836,0.6033,-0.1496,0.2391
1780487275.213,start,-0.0956,7.7381,0.4452,-5.0806,0.6030,-0.1496,0.2399
1780487275.214,start,-0.0949,7.7203,0.4580,-5.0820,0.5972,-0.1498,0.2397
1780487275.215,start,-0.1046,7.7141,0.4449,-5.0806,0.6039,-0.1498,0.2394
1780487275.216,start,-0.1082,7.7254,0.4556,-5.0824,0.6042,-0.1499,0.2390
1780487275.217,start,-0.1020,7.7392,0.4478,-5.0825,0.6012,-0.1500,0.2398
1780487275.218,start,-0.0939,7.7277,0.4561,-5.0828,0.5972,-0.1500,0.2400
1780487275.219,start,-0.1064,7.7190,0.4466,-5.0818,0.6000,-0.1498,0.2396
1780487275.220,start,-0.1053,7.7279,0.4518,-5.0804,0.6053,-0.1498,0.2392
1780487275.221,start,-0.1047,7.7359,0.4500,-5.0801,0.5998,-0.1499,0.2395
1780487275.230,start,-0.0867,7.7294,0.4562,-5.0801,0.5986,-0.1499,0.2399
1780487275.240,start,-0.1029,7.7208,0.4542,-5.0810,0.5976,-0.1498,0.2394
1780487275.251,start,-0.0985,7.7305,0.4523,-5.0815,0.6076,-0.1497,0.2391
1780487275.260,start,-0.0905,7.7393,0.4655,-5.0822,0.6004,-0.1498,0.2394
1780487275.270,start,-0.0489,7.7285,0.4833,-5.0794,0.6012,-0.1497,0.2399
1780487275.280,start,-0.1420,7.7177,0.4764,-5.0780,0.5947,-0.1497,0.2396
1780487275.290,start,-0.1800,7.7546,0.4823,-5.0785,0.6045,-0.1494,0.2394
1780487275.300,start,-0.1347,7.7533,0.5573,-5.0520,0.5890,-0.1494,0.2399
1780487275.310,start,-0.2710,7.7313,0.5128,-5.0171,0.5673,-0.1478,0.2413
1780487275.320,start,-0.6656,7.7585,0.3594,-4.9478,0.5182,-0.1463,0.2423
1780487275.330,start,-1.0769,7.8899,0.1507,-4.9348,0.4817,-0.1459,0.2436
1780487275.341,start,-1.4754,7.8957,-0.0270,-4.9532,0.4299,-0.1487,0.2449
1780487275.350,start,-1.7943,7.9952,-0.1917,-5.0875,0.3935,-0.1508,0.2473
1780487275.360,start,-1.8447,8.1810,-0.1827,-5.1873,0.3662,-0.1535,0.2492
1780487275.370,start,-1.8662,8.3456,-0.1711,-5.2525,0.3640,-0.1528,0.2514
1780487275.380,start,-1.8131,8.2825,-0.1156,-5.1523,0.3399,-0.1509,0.2541
1780487275.390,start,-1.7543,8.2923,-0.0892,-5.1195,0.3261,-0.1510,0.2571
1780487275.400,start,-1.7732,8.0108,-0.0765,-4.9996,0.3072,-0.1586,0.2575
1780487275.410,start,-1.9167,7.7872,-0.1590,-4.9608,0.3046,-0.1800,0.2570
1780487275.420,start,-1.9924,8.1235,-0.1844,-5.0382,0.2905,-0.2442,0.2569
1780487275.430,start,-1.9757,8.2066,-0.1914,-5.0147,0.2867,-0.3366,0.2582
1780487275.440,start,-1.8778,8.0433,-0.1207,-4.9517,0.2882,-0.4232,0.2589
1780487275.450,start,-1.8300,8.0173,-0.0857,-5.0257,0.3108,-0.4592,0.2592
1780487275.460,start,-1.5328,8.0457,0.0725,-5.0753,0.3320,-0.4736,0.2585
1780487275.470,start,-1.3802,7.8556,0.1506,-4.9198,0.3454,-0.5117,0.2593
1780487275.481,start,-1.3580,7.5850,0.1932,-4.8621,0.3714,-0.5440,0.2586
1780487275.490,start,-1.2973,7.7305,0.2419,-4.9586,0.3975,-0.5461,0.2565
1780487275.500,start,-1.1964,7.6279,0.3065,-4.9215,0.4137,-0.5610,0.2549
