A_1_center,A_1_front,A_1_left,A_1_right,A_1_back,A_2_center,A_2_front,A_2_left,A_2_right,A_2_back,A_3_center,A_3_front,A_3_left,A_3_right,A_3_back,A_4_center,A_4_front,A_4_left,A_4_right,A_4_back,A_5_center,A_5_front,A_5_left,A_5_right,A_5_back,A_6_center,A_6_front,A_6_left,A_6_right,A_6_back,A_7_center,A_7_front,A_7_left,A_7_right,A_7_back,x,y,z,source_file,Objektname,Objektkategorie,OAufnahme,Schwierigkeit,Gewicht
0.5085,-0.2213,0.4701,0.267,-0.1352,6.9572,7.5452,6.5521,6.0361,6.4772,0.2749,-0.2633,-0.5595,0.5865,1.2027,-5.4361,-6.6455,-5.0728,-3.9635,-4.9859,0.8386,0.6216,-1.1965,0.2319,2.0251,-0.2995,2.1569,-0.8346,-1.9782,-0.7903,0.1634,0.1647,0.2923,0.2086,0.1618,50.0,50.0,50.0,4eck_g_L_V_O_10.csv,4eck,1,2,1,185.5
0.5414,-0.1612,0.3464,0.493,-0.0275,6.9721,7.8091,6.57,5.8463,6.6162,0.5326,-0.1913,-0.6253,0.5116,1.2762,-5.5042,-6.8196,-5.114,-3.9107,-5.0581,0.789,0.5668,-1.2141,0.1679,2.0051,-0.3002,2.2236,-0.8173,-1.9028,-0.7402,0.1598,0.1415,0.3074,0.2305,0.1528,50.0,50.0,50.0,4eck_g_L_V_O_9.csv,4eck,1,2,1,185.5
0.5499,0.7677,0.4107,0.4942,-0.1762,7.1498,7.962,6.496,6.0265,6.4981,0.4394,0.3172,-0.5628,0.7443,1.177,-5.5474,-6.9243,-5.0616,-4.0478,-4.9999,0.7503,0.2751,-1.1636,0.544,2.0129,-0.2835,2.2625,-0.81,-1.897,-0.7624,0.1561,0.2145,0.3117,0.2594,0.1463,50.0,50.0,50.0,4eck_g_L_V_O_7.csv,4eck,1,2,1,185.5
0.5405,0.7956,0.3161,0.6511,0.0714,6.8551,7.7677,6.3869,5.8598,6.5174,0.3593,0.4211,-0.6767,0.9236,1.361,-5.3559,-6.8057,-4.9881,-3.9236,-4.933,0.8589,0.2776,-1.1841,0.6244,2.0593,-0.3533,2.1955,-0.8787,-1.9594,-0.8227,0.166,0.225,0.2836,0.2248,0.1764,50.0,50.0,50.0,4eck_g_V_V_O_4.csv,4eck,1,2,1,185.5
0.4957,-0.2787,0.226,-0.0991,0.1881,7.0266,7.6873,6.5566,5.886,6.4957,0.3176,-0.1457,-0.6923,0.3795,1.4274,-5.457,-6.7112,-5.061,-3.938,-4.9469,0.7105,0.5144,-1.2431,0.1759,1.9954,-0.3516,2.134,-0.9036,-1.9522,-0.8357,0.1624,0.1381,0.2748,0.2367,0.1719,50.0,50.0,50.0,4eck_g_V_V_O_3.csv,4eck,1,2,1,185.5
0.5105,0.4231,0.3271,0.6052,0.0636,7.0122,7.6674,6.4466,5.9188,6.6317,0.271,0.2861,-0.6446,0.5637,1.322,-5.4452,-6.6225,-5.0343,-3.9281,-5.106,0.802,0.5856,-1.1489,0.57,2.1046,-0.3345,2.1664,-0.8128,-1.9541,-0.7644,0.1566,0.176,0.3011,0.241,0.1481,50.0,50.0,50.0,4eck_g_V_V_O_5.csv,4eck,1,2,1,185.5
0.5244,0.7325,0.3062,0.7109,0.1148,7.036,7.6172,6.43,5.8533,6.5978,0.2193,0.0677,-0.727,0.6264,1.3705,-5.4994,-6.6863,-5.0859,-3.9688,-5.066,0.747,0.1884,-1.2233,0.1398,2.0318,-0.3312,2.1904,-0.819,-1.9086,-0.7611,0.1598,0.2049,0.3104,0.2135,0.146,50.0,50.0,50.0,4eck_g_V_V_O_7.csv,4eck,1,2,1,185.5
0.7045,0.731,0.3859,0.6308,0.2087,7.9814,9.1913,7.3358,6.6398,7.4195,1.2987,0.8602,-0.6609,0.8044,1.703,-6.1571,-7.896,-5.6194,-4.2533,-5.5986,0.4549,0.3096,-1.7062,0.4309,2.4632,-0.273,2.4238,-1.1516,-2.6233,-1.0671,0.3104,0.2698,0.2336,0.2785,0.2738,91.0,53.33,30.0,3eck_L_U_1.csv,3eck,2,2,1,443.8
0.6524,-0.2155,0.5276,0.786,0.015,8.1869,9.162,7.5669,6.4345,7.5233,0.5897,-0.1432,-0.5931,0.936,1.584,-6.3299,-7.911,-5.8616,-4.2302,-5.759,0.4553,0.4687,-1.6616,0.1764,2.5648,-0.2468,2.5184,-1.0154,-2.5407,-1.002,0.2931,0.219,0.2774,0.2564,0.2496,91.0,53.33,30.0,3eck_L_U_2.csv,3eck,2,2,1,443.8
0.6577,0.359,0.4052,0.6337,0.141,8.1057,9.4911,7.5979,6.5953,7.6844,1.2363,0.7294,-0.7533,0.7263,1.7204,-6.2712,-8.2801,-5.8682,-4.3215,-5.7934,0.5724,0.4939,-1.6527,0.3395,2.6988,-0.2464,2.7038,-1.0011,-2.4084,-1.0152,0.2933,0.3153,0.3141,0.2011,0.2098,91.0,53.33,30.0,3eck_L_U_3.csv,3eck,2,2,1,443.8
